epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.003,0.68732,0.58868,0.9084,0.9366,0.90945,0.96228,0.79373,0.70658,0.47223,0.8703,0.0670186,0.000333145,0.000333145
2,653.38,0.68703,0.58832,0.9088,0.92961,0.90705,0.9615,0.81866,0.61059,0.46143,0.86184,0.0340173,0.000665159,0.000665159
3,967.28,0.68937,0.59209,0.91032,0.94423,0.92433,0.97089,0.83766,0.58116,0.4375,0.85763,0.00101465,0.000995853,0.000995853
4,1374.06,0.68804,0.59131,0.91046,0.9493,0.92285,0.9714,0.80914,0.66355,0.45844,0.85896,0.00099406,0.00099406,0.00099406
5,1725.29,0.6846,0.58699,0.90916,0.94683,0.92876,0.97328,0.81155,0.66659,0.44034,0.85571,0.00099208,0.00099208,0.00099208
6,2044.1,0.68152,0.58501,0.90805,0.9517,0.93129,0.97404,0.78469,0.72844,0.45702,0.86733,0.0009901,0.0009901,0.0009901
7,2360.95,0.67413,0.57863,0.90631,0.94952,0.92787,0.97352,0.8362,0.59584,0.41941,0.84646,0.00098812,0.00098812,0.00098812
8,2675.54,0.67602,0.57917,0.90608,0.95394,0.93298,0.97544,0.81659,0.65148,0.4378,0.8569,0.00098614,0.00098614,0.00098614
9,2987.57,0.67209,0.57573,0.90473,0.95184,0.92847,0.97395,0.8196,0.63019,0.42675,0.85432,0.00098416,0.00098416,0.00098416
10,3301.4,0.66608,0.57019,0.90329,0.95355,0.93514,0.97634,0.84142,0.5887,0.40907,0.84766,0.00098218,0.00098218,0.00098218
11,3616.51,0.66615,0.57024,0.90278,0.95538,0.9362,0.97693,0.84935,0.56157,0.40005,0.84268,0.0009802,0.0009802,0.0009802
12,3929.34,0.66433,0.56874,0.9026,0.95611,0.93918,0.97804,0.82213,0.65581,0.41572,0.85373,0.00097822,0.00097822,0.00097822
13,4247.5,0.65896,0.56343,0.90056,0.95905,0.94087,0.97932,0.8447,0.58389,0.40056,0.84527,0.00097624,0.00097624,0.00097624
14,4570.22,0.65506,0.55886,0.90128,0.95732,0.93815,0.97829,0.84464,0.57667,0.40146,0.84554,0.00097426,0.00097426,0.00097426
15,4891.84,0.65572,0.55894,0.89972,0.95878,0.94136,0.97944,0.84895,0.56917,0.39211,0.84483,0.00097228,0.00097228,0.00097228
16,5212.3,0.65312,0.55772,0.89876,0.95957,0.94043,0.97907,0.86299,0.53272,0.38911,0.84164,0.0009703,0.0009703,0.0009703
17,5533.87,0.65246,0.55523,0.89899,0.95846,0.94177,0.97971,0.85624,0.55127,0.38729,0.84106,0.00096832,0.00096832,0.00096832
18,5855.09,0.64969,0.55329,0.8977,0.96058,0.94224,0.97992,0.85846,0.54315,0.38582,0.84129,0.00096634,0.00096634,0.00096634
19,6174.59,0.64684,0.55014,0.89681,0.96203,0.94423,0.98048,0.86043,0.54183,0.38209,0.84036,0.00096436,0.00096436,0.00096436
20,6494.47,0.643,0.54746,0.89651,0.96013,0.94531,0.98059,0.86398,0.53173,0.38366,0.84034,0.00096238,0.00096238,0.00096238
21,6814.13,0.64201,0.54555,0.89531,0.96122,0.94526,0.98084,0.85944,0.54428,0.37874,0.83957,0.0009604,0.0009604,0.0009604
22,7130.98,0.63955,0.54351,0.89483,0.96129,0.9445,0.98081,0.86238,0.53468,0.37829,0.83943,0.00095842,0.00095842,0.00095842
