epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.663,1.29753,1.65444,1.17164,0.64391,0.68259,0.71873,0.51324,0.99418,0.99517,0.95316,0.0670186,0.000333145,0.000333145
2,1181.43,1.04855,1.08409,1.04956,0.80626,0.78713,0.85466,0.65182,0.90663,0.75657,0.91708,0.0339856,0.000633488,0.000633488
3,1780.99,0.95308,0.9388,1.01027,0.86379,0.82785,0.90748,0.71734,0.77748,0.64113,0.90567,0.000919631,0.000900831,0.000900831
4,2374.29,0.88739,0.85258,0.98515,0.90938,0.86656,0.93778,0.73511,0.80432,0.56964,0.89572,0.0008515,0.0008515,0.0008515
5,2988.68,0.84295,0.79433,0.96772,0.91247,0.88018,0.94535,0.78219,0.66579,0.51421,0.87485,0.000802,0.000802,0.000802
6,3611.87,0.81058,0.75407,0.95539,0.92509,0.88635,0.95239,0.78896,0.6647,0.50206,0.86712,0.0007525,0.0007525,0.0007525
7,4262.43,0.78386,0.72098,0.94608,0.93029,0.89395,0.95532,0.81257,0.61182,0.47192,0.86471,0.000703,0.000703,0.000703
8,4880.16,0.76984,0.6998,0.93965,0.93753,0.90145,0.95996,0.81624,0.61149,0.46157,0.86156,0.0006535,0.0006535,0.0006535
9,5502.43,0.75143,0.67951,0.93356,0.94445,0.9122,0.96432,0.82093,0.61251,0.4493,0.85823,0.000604,0.000604,0.000604
10,6117.2,0.73571,0.663,0.92906,0.9465,0.91735,0.96848,0.82072,0.61791,0.4423,0.85698,0.0005545,0.0005545,0.0005545
